config,model,R2,MAPE,RMSE,NRMSE,s_R2,s_MAPE,s_RMSE,s_NRMSE
Conf1,AdaBoost,0.2479112870908303,1.587037700478802,1.0281792318927865,61.17809923855035,0.11367463460997655,0.6444706119291659,0.07495294851995246,5.127140890110225
Conf1,BaggedDT,0.24253966255097464,1.6781382986201077,1.0353045374484915,61.65041352328471,0.07632863461721566,0.7506811525461603,0.08719696409998427,6.36553252383282
Conf1,BayesianNN,-0.01384058300325206,2.331679125006702,1.1981667416905455,71.29615333562967,0.09135824532610738,1.2171997245955795,0.10013538505865796,6.763819682601786
Conf1,CatBoost,0.29216452964129197,1.6783069644929918,0.9997527666659856,59.51182771235152,0.07221860756716357,0.7658641321289541,0.06683842869115171,5.051187511584892
Conf1,GBDT,0.2381018859692885,1.6910388249320334,1.0361799551626407,61.65987359358917,0.09305682456864102,0.7002948718940484,0.06591851119367921,4.781007967199047
Conf1,KNN,-0.01966195507583839,2.204644052054233,1.202054841891542,71.53948213388604,0.07846401410196037,1.2609556254514658,0.10004422578509596,6.912393292541869
Conf1,LightGBM,0.22096710831967944,1.637102762283168,1.0467439516600128,62.28983560797133,0.10756333857075613,0.7199117410999919,0.06305804658120617,4.665055378489251
Conf1,MLP,-0.040146219920649484,2.363767172737237,1.2153365155725337,72.34872558387148,0.035519712071509446,1.0844664243268927,0.10335743783969657,7.310682108338123
Conf1,RF,0.2926186192597477,1.588261856993082,1.0009594713215413,59.59566905179348,0.0428228521537872,0.6739032322687732,0.07029830620661778,5.355255341938894
Conf1,SVR,-0.010767829949546014,1.9871487078280101,1.1958293043160455,71.15986641657416,0.09432347432248962,1.292852374497604,0.09324923895984645,6.426246555087412
Conf1,StackEns,0.2496860606667845,1.7434313318538763,1.0312299116689094,61.402989167275166,0.059671540757297595,0.7509552078591295,0.0889813036058629,6.419631583350835
Conf1,XGBoost,0.23372186981491927,1.6472892644935975,1.0408305780353864,61.95646029123549,0.07313424754258009,0.7544324193471481,0.07788171155169236,5.667543840998711
Conf2,AdaBoost,0.24490079815054347,1.5904365676072352,1.0335992379057461,61.533032555385795,0.06567861413995559,0.6763362773612176,0.07726361328296333,5.7114436322266195
Conf2,BaggedDT,0.25572418000593433,1.6914481324236756,1.0259470533215749,61.08498707465302,0.06226263578752685,0.7618668351335097,0.06989105920595193,5.403617562697917
Conf2,BayesianNN,0.03957950878397829,2.111087059431423,1.1641820823774005,69.26605693702713,0.10384465063426411,1.0769145665368791,0.07642064814035772,5.294434405707442
Conf2,CatBoost,0.29872378752607914,1.7709652865183845,0.9962055555748132,59.30915776022012,0.05086686687836979,0.8615480718689551,0.06837644784329691,5.227116631104413
Conf2,GBDT,0.16813648431699885,1.8079619185866942,1.080590670464418,64.3125557679166,0.13533392653708504,0.89503825864297,0.078119650379274,5.5730173099750955
Conf2,KNN,0.047128775422262056,2.0810371214030545,1.1586456228678865,68.92028507464047,0.11161408787720913,1.2026104219044804,0.06525786230477938,4.445514274458986
Conf2,LightGBM,0.27063318888006604,1.6483304960884453,1.0147066053006495,60.397333126674994,0.07264644272881332,0.7145516201745444,0.06297771427134907,4.82997554908585
Conf2,MLP,-0.38654785248080686,1.8870704015761965,1.3893227281467848,82.69087483514863,0.44581307057641073,0.963192579347247,0.22443146894809132,13.881487482248273
Conf2,RF,0.2898545036607857,1.6241593597166504,1.0028573913067433,59.69974266823626,0.03640232902852869,0.6959867747590642,0.06627804760189834,5.069679289517715
Conf2,SVR,0.010647430086017585,1.8938724197543384,1.1808769063392224,70.25509525915102,0.11382022064998104,1.0749100914139944,0.06914995478470094,4.897273402226621
Conf2,StackEns,0.26291908704120415,1.7360843425929258,1.0221925442684454,60.8704437651273,0.04999399865465496,0.7836036577719572,0.08270059333851258,6.130754978917358
Conf2,XGBoost,0.24632104004289967,1.7358980319508253,1.0305789103102083,61.35657710536202,0.10220155107181685,0.8373025130552894,0.07904008647203153,5.806730265968789
Conf3,AdaBoost,0.41216260515199316,1.2433092555676828,0.9037930229974952,53.7185431352808,0.173553180292498,0.43028758478768125,0.12008363281551183,6.914145504283248
Conf3,BaggedDT,0.3751244923480009,1.1242996114564765,0.9308590080913094,55.328412950303516,0.18747361626908615,0.3306010661912883,0.11952440076293411,6.857700226669888
Conf3,BayesianNN,0.3477054571696418,1.1511070199217106,0.9498559573153308,56.42366843867198,0.2013759934762533,0.4016535639059701,0.11303077650542852,6.045551530714761
Conf3,CatBoost,0.421043075999636,1.1887403762858422,0.900327458774058,53.53269073732677,0.12408471127693603,0.4425765307775704,0.08529388213138124,5.052327739492465
Conf3,GBDT,0.4100358320863416,1.1354498428890845,0.9050780243425021,53.788146354320716,0.1517935099617452,0.3863916843893923,0.07789519541503681,4.121503157705194
Conf3,KNN,0.01286335567824608,2.1752261058583304,1.1809673874367472,70.25844928573659,0.11407189617623295,1.2093528689827284,0.09677407915923325,6.36338011197681
Conf3,LightGBM,0.3893353001764066,1.1722966242667225,0.9187015587229101,54.58333992961669,0.17985364603812531,0.4282048404243759,0.09219814186624295,4.8083860950192365
Conf3,MLP,-0.02623560400479934,2.247741528169004,1.2075344782604756,71.8960963251343,0.01475293720074779,1.0142314242290782,0.10495721671184317,7.516226504320641
Conf3,RF,0.4183965264024816,1.2084438987995694,0.9028330673452096,53.67827899998319,0.12673708732507416,0.44778199330215973,0.09355605440604824,5.521605027501034
Conf3,SVR,0.13361307243911855,1.5882930104951376,1.1062557610134347,65.81637392627314,0.12749560796036938,0.989435195232186,0.11243935645906272,7.215181863135125
Conf3,StackEns,0.3769509536059865,1.1896898382952266,0.9354505548108459,55.64007161192561,0.1303174631791369,0.3736880134049617,0.10770110151137292,6.636157305538653
Conf3,XGBoost,0.36436741003622924,1.1114430764155383,0.9376833141745248,55.71310365459203,0.184280111451845,0.3099237931689145,0.09214813246464197,4.798995951130903
Conf4,AdaBoost,0.40763272414920665,1.2368602328261589,0.9083737857361589,53.99163537453048,0.15545910564341467,0.4489401335522198,0.09806164203768407,5.547131603606585
Conf4,BaggedDT,0.3798309750596223,1.1704176306625709,0.9287206066148878,55.20164757502131,0.17614752792654936,0.3691960233400908,0.11477907001150264,6.58172970731697
Conf4,BayesianNN,0.3507833465098439,1.133281441024271,0.9480727821850456,56.31966396852448,0.18248760682943785,0.3830751135906739,0.099371861791251,5.191793862554009
Conf4,CatBoost,0.44327147297313496,1.2016964402853345,0.8819751137611833,52.43697242554507,0.12487025749049144,0.46891603468955184,0.08160544624615942,4.759650563812458
Conf4,GBDT,0.4070633706375736,1.1290554650190128,0.9065912832107796,53.86758169058339,0.15937622453041161,0.4110955233027803,0.07786463681660077,3.9179636668647233
Conf4,KNN,0.06197611763842485,2.02455143109717,1.151699571730545,68.53166567571618,0.07993111670827764,1.1893422995467693,0.07906366376328544,5.582249837255693
Conf4,LightGBM,0.4066691270021792,1.1342649293651208,0.9057056216464419,53.80643976547598,0.1734286811781472,0.40408574704748684,0.08791255464914198,4.461929514326846
Conf4,MLP,-0.030041330874992854,2.2865825324073557,1.2095279293249128,72.00259500449208,0.066591384073509,1.0755164342856165,0.11463571123380992,7.878848334809567
Conf4,RF,0.41561976022665326,1.2755401984128094,0.905505273075297,53.841076122557865,0.11928386597708156,0.48691969691935794,0.09022504943440265,5.378207140118823
Conf4,SVR,0.028144810772477147,1.8602942622540932,1.1704322741525353,69.63242572413415,0.11179844165284895,1.0470973587794332,0.06914016431455768,4.863520396437624
Conf4,StackEns,0.37760860535367374,1.209650140868904,0.9338398791014948,55.531856300974596,0.14563226910590002,0.4073523014650692,0.11267509563479716,6.782535056045671
Conf4,XGBoost,0.3602479183292425,1.202463438683732,0.9406147577341251,55.88318391247534,0.18535335616939275,0.5493057288630154,0.08957521377902175,4.553811510749559
Conf1,▸ Average,0.16110786961368587,1.8448205051478201,1.0858806506105352,64.63244963800105,0.07817801051745707,0.8846656264954095,0.08265937567445365,5.903791389672821
Conf2,▸ Average,0.14566841095299687,1.7981959281374873,1.0916421090153243,64.97467849412863,0.11253986621371799,0.8786551389975091,0.08499226221443394,6.022587065344591
Conf3,▸ Average,0.30294687309077356,1.378003349035027,0.9816116327737369,58.36476461243044,0.14298248005067085,0.5636773798996924,0.10130016418406147,5.987596751457329
Conf4,▸ Average,0.3007339081480866,1.4053881785755442,0.9825882398561171,58.42056196166925,0.1400299864404552,0.6034035329485056,0.09290917580935121,5.458280932824877
Conf1,▸ Ensemble,0.2850218701010741,1.6141297591646406,1.0046609380186173,59.79631471446618,0.07032947992231695,0.6923353914407112,0.062330814537752216,4.7391020156107295
Conf2,▸ Ensemble,0.29186122566875905,1.653723669199008,1.0011177041461827,59.596751560691395,0.0502145918961932,0.733364299835657,0.0689343534742775,5.209642921829312
Conf3,▸ Ensemble,0.4307178471170673,1.1939134327572067,0.8906359382628821,52.938758680953505,0.14937781641298825,0.4295549248183547,0.09902656187929867,5.64421321811855
Conf4,▸ Ensemble,0.43690630952465365,1.204377742973027,0.886102076557559,52.66916819505035,0.13982576775950237,0.44607657494038055,0.08878338051317836,5.0045213750976725
